아파트명,주소,lat,lon
우리유앤미,서울특별시 동작구 서달로 83,37.5006676,126.9596386
송파파인타운13단지,서울특별시 송파구 송파대로8길 10,37.4768967,127.1291789
오금현대백조(임대),서울특별시 송파구 양재대로72길 20,37.5089058,127.1287745
개봉건영,서울특별시 구로구 고척로21나길 85-6,37.5011622,126.8406749
월계동원베네스트,서울특별시 노원구 월계로53길 21,37.631732,127.0582196
양재우성KBS(113동),서울특별시 서초구 바우뫼로 91,37.4775008,127.0290739
천호삼익,서울특별시 강동구 상암로12길 13,37.5485886,127.1284727
자양경남아너스빌,서울특별시 광진구 자양로3길 55,37.5294321,127.083991
신사성원,서울 은평구 신사동 360,37.6004574,126.9133122
신월대방샤인힐,서울특별시 양천구 신월로9길 37,37.5204711,126.8384999
문정3차푸르지오,서울특별시 송파구 송이로 257,37.4871243,127.1332779
잠원한신그린,서울특별시 서초구 신반포로33길 71,37.5133709,127.0078749
천호e-편한세상,서울특별시 강동구 올림픽로81길 15,37.5443727,127.1243522
경희궁의아침3단지,서울특별시 종로구 사직로8길 34,37.5736451,126.9720155
성내2차e-편한세상,서울특별시 강동구 풍성로37길 55,37.53436,127.1264298
사당유니드,서울특별시 동작구 동작대로29길 195,37.493362,126.9752458
신내다우훼밀리,서울특별시 중랑구 송림길 16,37.6060585,127.0971514
명일삼익그린11차,서울특별시 강동구 명일로 376,37.5518066,127.1504982
공릉대동1차,서울특별시 노원구 동일로175길 38,37.6198604,127.072532
오류동선,서울특별시 구로구 경인로 158,37.4936836,126.8394712
여의도초원,서울특별시 영등포구 국회대로76가길 11,37.5309637,126.9231927
목동금강에스쁘아,서울특별시 양천구 목동중앙본로 15,37.5380526,126.8714021
방학신동아5단지,서울특별시 도봉구 시루봉로 148,37.6636195,127.0285219
공릉신원,서울특별시 노원구 동일로192나길 26,37.6277644,127.0751067
신정학마을3단지,서울특별시 양천구 신정로 225-12,37.5115753,126.8472095
신내우남푸르미아,서울특별시 중랑구 봉화산로56길 51,37.6061739,127.0987566
엠브이아파트,서울특별시 서초구 고무래로10길 39,37.4992014,127.0102751
쌍문동북한산월드메르디앙,서울특별시 도봉구 삼양로 566,37.653846,127.0139503
독산진도2차,서울특별시 금천구 두산로 36,37.4700234,126.8922168
독산계룡,서울특별시 금천구 범안로15길 7,37.4671531,126.8927936
목동대원칸타빌,서울특별시 양천구 목동로 224,37.5285923,126.8650937
신도림우성5차,서울특별시 구로구 신도림로21길 21,37.5127235,126.8837922
마곡서광2차아파트,서울특별시 강서구 양천로14길 17,37.5720228,126.8106819
서초1차e편한세상,서울특별시 서초구 명달로6길 31,37.4812021,127.0067349
목동성원,서울특별시 양천구 목동중앙로 67,37.5358469,126.8699072
북한산수자인,서울특별시 은평구 불광로 170,37.6216983,126.9321696
브라운스톤쌍문,서울특별시 도봉구 노해로40길 71,37.6471154,127.0295935
도곡동양재디오빌,서울특별시 강남구 강남대로 256,37.4864782,127.0335386
유원목동,서울특별시 양천구 신목로 77,37.5217974,126.8736268
천호현대,서울특별시 강동구 진황도로 47-2,37.5383992,127.1329005
중화극동,서울특별시 중랑구 봉화산로27길 32,37.6036519,127.0837949
신림현대성우,서울특별시 관악구 남부순환로198길 7,37.4837087,126.9372705
평창롯데,서울특별시 종로구 평창문화로 140,37.6091332,126.9756922
문정세양청마루,서울특별시 송파구 송이로31길 66,37.4924314,127.1370266
보라매갑을,서울특별시 관악구 관천로24길 3,37.4891251,126.9219256
성수두산위브,서울특별시 성동구 뚝섬로 434,37.5372327,127.0584774
신도림쌍용플래티넘노블,서울특별시 구로구 공원로 40,37.5009591,126.8912982
대림갑을명가,서울특별시 영등포구 대림로22길 29,37.4956182,126.9036771
공릉1동삼익,서울특별시 노원구 섬밭로 17,37.6181002,127.0723375
자양한강극동,서울특별시 광진구 능동로3길 53,37.5336956,127.0644764
청담삼성1차,서울특별시 강남구 삼성로133길 20,37.5194421,127.0478619
창동현대타운(주복),서울특별시 도봉구 도봉로114길 22-8,37.6470839,127.0352336
성수금호3차,서울특별시 성동구 뚝섬로5길 17,37.5420274,127.0504009
도봉서광,서울특별시 도봉구 마들로 770,37.6783964,127.049861
묵동세방,서울특별시 중랑구 숙선옹주로9길 25,37.6153547,127.0835522
광장11현대홈타운,서울특별시 광진구 아차산로69길 29,37.5430085,127.0969941
서초2차e편한세상,서울특별시 서초구 효령로49길 57,37.4862357,127.0090583
휘경서울가든,서울특별시 동대문구 겸재로 24,37.5841565,127.0711253
가락현대6차,서울특별시 송파구 송이로19길 8,37.4972327,127.1226268
여의도화랑,서울특별시 영등포구 국제금융로7가길 21,37.5221449,126.9355476
문래진주,서울특별시 영등포구 선유로9길 31,37.5171755,126.8847882
신길삼두,서울특별시 영등포구 여의대방로61길 19,37.5143228,126.9238594
논현동부센트레빌,서울특별시 강남구 언주로116길 6,37.5103594,127.0376735
응암경남,서울특별시 은평구 가좌로7나길 35,37.5833193,126.9203156
서초현대4차,서울특별시 서초구 고무래로 94,37.5003507,127.0178518
역삼휴먼터치빌,서울특별시 강남구 논현로 565,37.5064114,127.0338294
방화진로,서울특별시 강서구 금낭화로 258,37.5770526,126.8084237
잠원킴스빌리지,서울특별시 서초구 잠원로3길 6,37.5109145,127.0067114
강서월드메르디앙,서울특별시 강서구 공항대로42길 54-26,37.5568955,126.843127
구로대성스카이렉스,서울특별시 구로구 공원로 27,37.4994441,126.8909539
마포경남아너스빌,서울특별시 마포구 신수로 81,37.5487707,126.934029
방배브라운가,서울특별시 서초구 방배로19길 67,37.4835259,126.9919326
면목신성미소지움,서울특별시 중랑구 용마산로86길 9-27,37.587218,127.0961012
서초3차e편한세상,서울특별시 서초구 남부순환로 2343-10,37.4785869,127.0077138
종암우림카이저팰리스,서울특별시 성북구 종암로 132,37.6018897,127.0334853
길동우성1차,서울특별시 강동구 천중로49길 58,37.5432755,127.1445299
가락우성2차아파트,서울특별시 송파구 중대로12길 35,37.4918819,127.1255185
상도동원베네스트,서울특별시 동작구 상도로34길 42,37.5029264,126.9444312
고척경남1차,서울특별시 구로구 경인로47길 150,37.5052906,126.8627712
묵동동구햇살,서울특별시 중랑구 동일로169길 41,37.613353,127.0747746
대방경남아너스빌,서울특별시 동작구 여의대방로54길 6,37.5116136,126.9256082
염창2차한화꿈에그린,서울특별시 강서구 공항대로63길 16,37.5515337,126.8668736
역삼경남,서울특별시 강남구 언주로85길 13,37.5005747,127.0423208
가양중앙하이츠,서울특별시 강서구 허준로 55-20,37.5698077,126.8492901
보라매두산위브,서울 영등포구 신길동 4497번지,37.4972694,126.9144293
용마산금호어울림,서울특별시 중랑구 용마산로 290,37.5770579,127.091721
양평서통한신,서울특별시 영등포구 영등포로12길 7,37.5216885,126.8878466
대망드림힐,서울특별시 노원구 동일로242라길 27,37.6763152,127.0584516
고척양우,서울특별시 구로구 고척로52길 9,37.504745,126.8566086
동양엔파트,서울특별시 마포구 백범로 82,37.5479468,126.9406061
문정푸르지오2차,서울특별시 송파구 송이로32길 37,37.4867371,127.1270852
아남,서울특별시 서초구 사임당로23길 53,37.4929518,127.020739
