아파트명,주소,lat,lon,공원,전철역,점포,경찰서,병원,score,소요시간
당산신동아파밀리에,서울특별시 영등포구 영신로33길 3,37.519805,126.9003963,1.0,5.0,9.0,3.0,7.0,66,20분
구로금호어울림,서울특별시 구로구 공원로 26,37.5000583,126.8919875,0.0,6.0,7.0,3.0,6.0,58,17분
당산한양,서울특별시 영등포구 영신로 193,37.5254625,126.8997511,0.0,4.0,12.0,2.0,7.0,57,26분
순영웰라이빌아파트,서울특별시 영등포구 영등포로62길 42,37.516572774,126.912953086,2.0,4.0,6.0,2.0,5.0,57,16분
금호어울림,서울특별시 영등포구 문래로 137,37.519107615,126.897049075,0.0,5.0,9.0,3.0,6.0,57,23분
당산2가현대,서울특별시 영등포구 당산로 95,37.5235102,126.894895,0.0,5.0,13.0,1.0,6.0,55,21분
구로대성스카이렉스,서울특별시 구로구 공원로 27,37.4994441,126.8909539,0.0,4.0,7.0,3.0,7.0,55,19분
포레나영등포센트럴,서울특별시 영등포구 국회대로50길 20,37.523206,126.905671,2.0,4.0,6.0,1.0,6.0,55,26분
당산진로,서울특별시 영등포구 당산로 68,37.5206537,126.8963598,0.0,4.0,11.0,2.0,6.0,53,20분
당산SHVILLE,서울특별시 영등포구 영신로 183,37.5242149,126.9015338,1.0,4.0,7.0,1.0,7.0,53,20분
