name,주소,lat,lon
가톨릭대학교인천성모병원,인천광역시 부평구 동수로 56 (부평동),37.4848309,126.7248987
강릉아산병원,강원도 강릉시 사천면 방동길 38 (),37.8184325,128.8578411
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),37.5684083,126.96775
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),37.5403764,127.0718276
경북대학교병원,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",35.866774,128.604125
경상국립대학교병원,경상남도 진주시 강남로 79 (칠암동),35.1763252,128.0956717
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),37.5941195,127.051852
계명대학교동산병원,대구광역시 달서구 달구벌대로 1035 (신당동),35.8538856,128.4801315
고려대학교의과대학부속구로병원,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),37.492052,126.8848701
고려대학교의과대학부속안산병원,경기도 안산시 단원구 적금로 123 (고잔동),37.3185144,126.8249033
단국대학교의과대학부속병원,충청남도 천안시 동남구 망향로 201  (안서동),36.8415904,127.172575
대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33 (대명동),35.8436078,128.5679969
동아대학교병원,부산광역시 서구 대신공원로 26 (동대신동3가),35.12019,129.017425
부산대학교병원,부산광역시 서구 구덕로 179 (아미동1가),35.1008477,129.0188032
분당서울대학교병원,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",37.3519807,127.1232509
삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",37.4882978,127.0851508
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),37.5797151,126.9990168
순천향대학교부속 천안병원,"충청남도 천안시 동남구 순천향6길 31  5동 (봉명동,순천향대학교병원)",36.8027381,127.1358588
순천향대학교부속부천병원,경기도 부천시 조마루로 170 (중동),37.4986043,126.7629514
아주대학교병원,경기도 수원시 영통구 월드컵로 164 (원천동),37.2793927,127.0476764
양산부산대학교병원,경상남도 양산시 물금읍 금오로 20 (),35.3281501,129.0057274
연세대학교 원주세브란스기독병원,강원도 원주시 일산로 20-0  (일산동),37.3490013,127.9456639
연세대학교의과대학 강남세브란스병원,서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동),37.4929296,127.0462683
영남대학교병원,대구광역시 남구 현충로 170 (대명동),35.848107,128.58205
원광대학교병원,전라북도 익산시 무왕로 895 (신동),35.9646389,126.9595793
의료법인 길의료재단 길병원,인천광역시 남동구 남동대로774번길 21-0 의료법인길의료재단길병원,37.452171,126.7092258
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),37.5362859,126.8862379
인제대학교부산백병원,"부산광역시 부산진구 복지로 75, 진사로83번길 75 진사로83번길 81, 1층(일부), 3층 (개금동)",35.1455173,129.0208609
인하대학교의과대학부속병원,인천광역시 중구 인항로 27 (신흥동3가),37.4586786,126.6340955
재단법인아산사회복지재단 서울아산병원,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),37.5265762,127.107935
전남대학교병원,광주광역시 동구 제봉로 42  (학동),35.1419213,126.9219641
전북대학교병원,전라북도 전주시 덕진구 건지로 20  (금암동),35.8470974,127.1411626
