name,구분,lat,lon
부평삼거리역,일반역,37.478267,126.710494
간석오거리역,일반역,37.466921,126.707861
인천시청역,일반역,37.457615,126.702216
예술회관역,일반역,37.449334,126.700991
인천터미널역,일반역,37.441917,126.699727
문학경기장역,일반역,37.434964,126.698373
선학역,일반역,37.426985,126.698872
신연수역,일반역,37.418032,126.693853
원인재역,환승역,37.412364,126.687893
동춘역,일반역,37.404676,126.680835
동막역,일반역,37.398173,126.673561
캠퍼스타운역,일반역,37.388209,126.661985
테크노파크역,일반역,37.382311,126.656355
임학역,일반역,37.545058,126.738642
계산역,일반역,37.543243,126.728436
경인교대입구역,일반역,37.538272,126.722603
작전역,일반역,37.530271,126.722548
갈산역,일반역,37.517124,126.721566
부평구청역,환승역,37.508768,126.720547
부평시장역,일반역,37.498495,126.722282
부평역,환승역,37.490541,126.723437
동수역,일반역,37.485409,126.718464
장산역,일반역,35.169914,129.176986
동대문역사문화공원역,환승역,37.56500251,127.007394
신당역,환승역,37.56582912,127.0181023
상왕십리역,일반역,37.56417104,127.0293524
왕십리역,환승역,37.56152516,127.0375076
한양대역,일반역,37.55522179,127.0434917
뚝섬역,일반역,37.54712239,127.0473648
성수역,일반역,37.5444338,127.0559893
건대입구역,환승역,37.54060889,127.0700628
구의역,일반역,37.53691864,127.0857297
강변역,일반역,37.53487706,127.0946944
잠실나루역,일반역,37.52054808,127.1036977
잠실역,환승역,37.51376934,127.1021882
정평역,일반역,35.8340843,128.7264743
임당역,일반역,35.8343906,128.7408599
영남대역,일반역,35.8363683,128.7507913
칠곡경대병원역,일반역,35.9583939,128.5599142
학 정역,일반역,35.951577,128.5591956
팔 거역,일반역,35.944126,128.5583539
동 천역,일반역,35.9377071,128.5566602
칠곡운암역,일반역,35.9314868,128.5545711
구 암역,일반역,35.9257608,128.5504075
태 전역,일반역,35.9197078,128.5474952
매 천역,일반역,35.9127328,128.5433793
매천시장역,일반역,35.9044626,128.5457614
팔 달역,일반역,35.8978498,128.5467575
공 단역,일반역,35.8919855,128.5536204
만 평역,일반역,35.8898678,128.561021
팔달시장역,일반역,35.8888598,128.567844
안평역,일반역,35.237363,129.171823
고촌역,일반역,35.236031,129.160443699
동부산대학역,일반역,35.232506,129.154024
영산대역,일반역,35.225777,129.146149
석대역,일반역,35.218111615,129.137179
반여농산물시장역,일반역,35.217779,129.124061
금사역,일반역,35.215829,129.115153
서동역,일반역,35.213333,129.107683
명장역,일반역,35.205143,129.101517
충렬사역,일반역,35.199859,129.097636
낙민역,일반역,35.200254,129.090774
수안역,일반역,35.201828,129.083806
동래역(4호선)역,환승역,35.204834,129.077082
미남역(4호선)역,환승역,35.207116,129.069172
대저역,일반역,35.213386,128.961048803
체육공원역,일반역,35.212577,128.9696515
강서구청역,일반역,35.211247,128.981756
구포역,일반역,35.206697,128.996366
덕천역(3호선)역,환승역,35.210215,129.005671
숙등역,일반역,35.21197,129.012749
남산정역,일반역,35.21334,129.023928
만덕역,일반역,35.213,129.036527
미남역(3호선)역,환승역,35.205503,129.068061
사직역,일반역,35.198998,129.064996
종합운동장역,일반역,35.19125,129.067504
거제역,일반역,35.188589,129.073941
연산역(3호선)역,환승역,35.186173,129.081526
물만골역,일반역,35.176808,129.085748
배산역,일반역,35.173504,129.095498
망미역,일반역,35.171528,129.108225
수영역(3호선)역,환승역,35.167753,129.11459
양산역,일반역,35.3387277341,129.026391
남양산역,일반역,35.325359,129.019457
부산대양산캠퍼스역,일반역,35.316955,129.013940831
증산역,일반역,35.308302,129.010246
호포역,일반역,35.280406,129.017097
금곡역,일반역,35.267248,129.016905425
동원역,일반역,35.258656,129.012392
율리역,일반역,35.246714,129.012918
화명역,일반역,35.236278,129.013918
수정역,일반역,35.223356,129.009198
덕천역(2호선)역,환승역,35.210219,129.005673
구명역,일반역,35.20252,128.999322
구남역,일반역,35.196804,128.994928
모라역,일반역,35.189663,128.988655
모덕역,일반역,35.180366,128.985621
덕포역,일반역,35.173754,128.983955
사상역,환승역,35.162361,128.984621
감전역,일반역,35.155528,128.991146
주례역,일반역,35.150508,129.003077
냉정역,일반역,35.151254,129.012255
개금역,일반역,35.153284,129.020533
동의대역,일반역,35.153986,129.03275
가야역,일반역,35.155883,129.042817
부암역,일반역,35.157444,129.050185
서면역(2호선)역,환승역,35.15774,129.059084
전포역,일반역,35.153102,129.065374
국제금융센터부산은행역,일반역,35.145817,129.066755
문현역,일반역,35.139151,129.067399
지게골역,일반역,35.135574,129.074365
못골역,일반역,35.134731,129.084415
대연역,일반역,35.135153,129.092161
경성대부경대역,일반역,35.137585,129.100548
